freq  6, c  1
0.1,0.0369563
0.3,0.0292129
0.5,0.0196284
0.7,0.0144655
0.9,0.01539
1.1,0.0190877
1.3,0.0212305
1.5,0.0204356
1.7,0.0185684
1.9,0.0179248
2.1,0.0187757
2.3,0.0196577
2.5,0.0194536
2.7,0.0186058
2.9,0.0182876
3.1,0.0188613
3.3,0.0195376
3.5,0.0194639
3.7,0.018762
3.9,0.0182883
4.1,0.018546
4.3,0.0191305
4.5,0.0193058
4.7,0.0189053
4.9,0.0184569
5.1,0.0184733
5.3,0.0188441
5.5,0.019043
5.7,0.0188123
5.9,0.0184484
6.1,0.0183842
6.3,0.0186441
6.5,0.0188476
6.7,0.0187096
6.9,0.0183839
7.1,0.018242
7.3,0.018403
7.5,0.0186078
7.7,0.0185633
7.9,0.0183011
8.1,0.0181115
8.3,0.0181694
8.5,0.018332
8.7,0.0183403
8.9,0.0181462
9.1,0.0179532
9.3,0.0179454
9.5,0.0180616
9.7,0.0180889
9.9,0.0179366
