freq: 3 c: 1 calcSize 50 gridSize 200, energy
0.2,0.00924008
0.6,0.00730432
1,0.00490752
1.4,0.00361615
1.8,0.00384748
2.2,0.0047727
2.6,0.00530879
3,0.00510954
3.4,0.00464197
3.8,0.00448104
4.2,0.00469451
4.6,0.00491559
5,0.00486425
5.4,0.00465148
5.8,0.00457168
6.2,0.00471571
6.6,0.0048855
7,0.00486698
7.4,0.00469072
7.8,0.00457183
8.2,0.00463669
8.6,0.00478361
9,0.00482757
9.4,0.00472674
9.8,0.00461399
10.2,0.00461833
10.6,0.00471183
11,0.00476191
11.4,0.00470367
11.8,0.00461193
12.2,0.00459591
12.6,0.00466164
13,0.00471305
13.4,0.00467819
13.8,0.00459597
14.2,0.00456029
14.6,0.00460119
15,0.00465306
15.4,0.0046418
15.8,0.00457545
16.2,0.00452761
16.6,0.00454258
17,0.00458399
17.4,0.00458616
17.8,0.00453691
18.2,0.00448805
18.6,0.0044864
19,0.00451626
19.4,0.00452337
19.8,0.00448472
