freq: 3 c: 1 phase PI/2 calcSize 100 gridSize 400, energy
2,1.19614e-05
6,1.19691e-05
10,1.19689e-05
14,1.19688e-05
18,1.19685e-05
22,1.19678e-05
26,1.19669e-05
30,1.19657e-05
34,1.19644e-05
38,1.19631e-05
42,1.19616e-05
46,1.19601e-05
50,1.19585e-05
54,1.19569e-05
58,1.19551e-05
62,1.19531e-05
66,1.1951e-05
70,1.19487e-05
74,1.19462e-05
78,1.19434e-05
82,1.19406e-05
86,1.19377e-05
90,1.19345e-05
94,1.19315e-05
98,1.19283e-05
102,1.19248e-05
106,1.19214e-05
110,1.19178e-05
114,1.19138e-05
118,1.19098e-05
122,1.19056e-05
126,1.19012e-05
130,1.18968e-05
134,1.18921e-05
138,1.18874e-05
142,1.18827e-05
146,1.18776e-05
150,1.18726e-05
154,1.18673e-05
158,1.18618e-05
162,1.18562e-05
166,1.18504e-05
170,1.18444e-05
174,1.18383e-05
178,1.18321e-05
182,1.18257e-05
186,1.18193e-05
190,1.18127e-05
194,1.18059e-05
198,1.1799e-05
202,1.17918e-05
206,1.17845e-05
210,1.17771e-05
214,1.17694e-05
218,1.17615e-05
222,1.17537e-05
226,1.17456e-05
230,1.17373e-05
234,1.17291e-05
238,1.17206e-05
242,1.17118e-05
246,1.17029e-05
250,1.16938e-05
254,1.16845e-05
258,1.16751e-05
262,1.16654e-05
266,1.16557e-05
270,1.16458e-05
274,1.16357e-05
278,1.16255e-05
282,1.16152e-05
286,1.16045e-05
290,1.15937e-05
294,1.15827e-05
298,1.15714e-05
302,1.15601e-05
306,1.15485e-05
310,1.15367e-05
314,1.15249e-05
318,1.15128e-05
322,1.15005e-05
326,1.14881e-05
330,1.14754e-05
334,1.14626e-05
338,1.14495e-05
342,1.14361e-05
346,1.14226e-05
350,1.14089e-05
354,1.1395e-05
358,1.13808e-05
362,1.13666e-05
366,1.13522e-05
370,1.13374e-05
374,1.13226e-05
378,1.13074e-05
382,1.12919e-05
386,1.12763e-05
390,1.12604e-05
394,1.12443e-05
398,1.1228e-05
